extension_nm	force_f	retraction_nm	force_r
4546.111012	-5915.844922	5104.772831	41544.05692
4546.209925	-5917.873726	5104.615876	41533.91281
4546.30885	-5917.873726	5104.458934	41513.62459
4546.407785	-5919.90253	5104.302005	41491.30755
4546.506731	-5915.844922	5104.145089	41466.96168
4546.605687	-5921.931333	5103.988186	41438.55817
4546.704654	-5917.873726	5103.831296	41406.09701
4546.803631	-5917.873726	5103.674419	41375.66468
4546.902619	-5921.931333	5103.517555	41339.14588
4547.001618	-5917.873726	5103.360704	41302.62709
4547.100628	-5919.90253	5103.203866	41270.16593
4547.199648	-5921.931333	5103.047041	41239.7336
4547.298678	-5921.931333	5102.890228	41207.27245
4547.39772	-5919.90253	5102.733429	41184.95541
4547.496771	-5917.873726	5102.576643	41158.58073
4547.595834	-5917.873726	5102.41987	41138.29251
4547.694907	-5909.758511	5102.26311	41118.00429
4547.793991	-5913.816119	5102.106363	41101.77371
4547.893086	-5909.758511	5101.949629	41085.54314
4547.992191	-5909.758511	5101.792908	41067.28374
4548.091306	-5909.758511	5101.6362	41049.02435
4548.190433	-5907.729708	5101.479505	41028.73613
4548.28957	-5901.643297	5101.322823	41010.47673
4548.388717	-5903.6721	5101.166154	40990.18851
4548.487876	-5905.700904	5101.009498	40967.87148
4548.587045	-5903.6721	5100.852855	40943.52561
4548.686224	-5913.816119	5100.696225	40919.17975
4548.785415	-5913.816119	5100.539608	40900.92036
4548.884615	-5911.787315	5100.383004	40872.51686
4548.983827	-5909.758511	5100.226413	40858.31511
4549.083049	-5917.873726	5100.069835	40829.9116
4549.182282	-5917.873726	5099.91327	40811.65221
4549.281526	-5919.90253	5099.756718	40795.42164
4549.38078	-5919.90253	5099.600179	40781.21989
4549.480045	-5917.873726	5099.443653	40764.98931
4549.57932	-5925.988941	5099.287141	40754.84521
4549.678606	-5925.988941	5099.130641	40740.64346
4549.777903	-5921.931333	5098.974154	40730.49935
4549.877211	-5921.931333	5098.81768	40714.26878
4549.976529	-5917.873726	5098.661219	40698.03821
4550.075858	-5915.844922	5098.504771	40681.80763
4550.175197	-5915.844922	5098.348336	40661.51942
4550.274548	-5911.787315	5098.191914	40631.0871
4550.373909	-5909.758511	5098.035506	40608.77007
4550.47328	-5907.729708	5097.87911	40580.36657
4550.572662	-5907.729708	5097.722727	40551.96307
4550.672055	-5903.6721	5097.566357	40515.44429
4550.771459	-5903.6721	5097.41	40487.04079
4550.870873	-5903.6721	5097.253657	40460.66611
4550.970298	-5907.729708	5097.097326	40432.26262
4551.069734	-5903.6721	5096.941008	40409.94558
4551.16918	-5901.643297	5096.784703	40387.62855
4551.268637	-5903.6721	5096.628412	40371.39798
4551.368105	-5901.643297	5096.472133	40353.13859
4551.467583	-5895.556886	5096.315867	40334.8792
4551.567072	-5895.556886	5096.159615	40322.70628
4551.666572	-5893.528082	5096.003375	40298.36042
4551.766083	-5893.528082	5095.847149	40286.1875
4551.865604	-5891.499278	5095.690935	40267.92811
4551.965136	-5895.556886	5095.534734	40247.6399
4552.064678	-5887.441671	5095.378547	40229.38051
4552.164232	-5887.441671	5095.222372	40209.0923
4552.263796	-5895.556886	5095.066211	40192.86173
4552.36337	-5893.528082	5094.910062	40178.65999
4552.462956	-5893.528082	5094.753927	40166.48706
4552.562552	-5899.614493	5094.597804	40154.31414
4552.662159	-5905.700904	5094.441695	40148.22767
4552.761776	-5907.729708	5094.285599	40136.05475
4552.861405	-5913.816119	5094.129515	40123.88182
