"extension","force_f","retraction","force_r"
4266.409138,-783.137024,4265.111185,-765.934753
4266.528061,-785.160821,4265.230993,-764.922855
4266.646985,-784.148923,4265.3508,-765.934753
4266.765908,-783.137024,4265.470606,-765.934753
4266.884831,-784.148923,4265.590411,-765.934753
4267.003754,-782.125126,4265.710216,-765.934753
4267.122676,-782.125126,4265.830019,-766.946652
4267.241598,-777.065635,4265.949822,-766.946652
4267.36052,-776.053736,4266.069624,-765.934753
4267.479442,-777.065635,4266.189425,-766.946652
4267.598363,-775.041838,4266.309225,-767.95855
4267.717285,-775.041838,4266.429025,-765.934753
4267.836206,-775.041838,4266.548823,-764.922855
4267.955127,-778.077533,4266.668621,-764.922855
4268.074047,-776.053736,4266.788417,-767.95855
4268.192967,-777.065635,4266.908213,-766.946652
4268.311888,-779.089431,4267.028008,-765.934753
4268.430807,-781.113228,4267.147802,-766.946652
4268.549727,-780.10133,4267.267596,-767.95855
4268.668646,-780.10133,4267.387388,-768.970448
4268.787566,-781.113228,4267.50718,-770.994245
4268.906485,-780.10133,4267.62697,-770.994245
4269.025403,-779.089431,4267.74676,-772.006143
4269.144322,-779.089431,4267.866549,-769.982347
4269.26324,-778.077533,4267.986338,-769.982347
4269.382158,-775.041838,4268.106125,-769.982347
4269.501076,-776.053736,4268.225911,-767.95855
4269.619993,-776.053736,4268.345697,-766.946652
4269.738911,-775.041838,4268.465482,-763.910957
4269.857828,-776.053736,4268.585266,-761.88716
4269.976745,-772.006143,4268.705049,-762.899058
4270.095661,-770.994245,4268.824831,-761.88716
4270.214578,-773.018041,4268.944612,-760.875262
4270.333494,-772.006143,4269.064393,-761.88716
4270.45241,-772.006143,4269.184172,-764.922855
4270.571326,-770.994245,4269.303951,-766.946652
4270.690241,-775.041838,4269.423729,-766.946652
4270.809156,-775.041838,4269.543506,-769.982347
4270.928071,-776.053736,4269.663283,-770.994245
4271.046986,-778.077533,4269.783058,-770.994245
4271.165901,-778.077533,4269.902833,-770.994245
4271.284815,-780.10133,4270.022606,-768.970448
4271.403729,-783.137024,4270.142379,-767.95855
4271.522643,-782.125126,4270.262151,-767.95855
4271.641557,-785.160821,4270.381922,-767.95855
4271.76047,-785.160821,4270.501693,-765.934753
4271.879384,-787.184618,4270.621462,-764.922855
4271.998297,-784.148923,4270.741231,-767.95855
4272.11721,-785.160821,4270.860999,-768.970448
4272.236122,-785.160821,4270.980766,-766.946652
4272.355034,-783.137024,4271.100532,-770.994245
4272.473947,-784.148923,4271.220297,-770.994245
4272.592858,-784.148923,4271.340062,-774.02994
4272.71177,-783.137024,4271.459825,-773.018041
4272.830682,-785.160821,4271.579588,-774.02994
4272.949593,-786.172719,4271.69935,-774.02994
4273.068504,-785.160821,4271.819111,-774.02994
4273.187415,-786.172719,4271.938871,-772.006143
4273.306325,-784.148923,4272.058631,-772.006143
4273.425236,-786.172719,4272.178389,-766.946652
4273.544146,-785.160821,4272.298147,-764.922855
4273.663056,-785.160821,4272.417904,-766.946652
4273.781965,-781.113228,4272.53766,-764.922855
4273.900875,-777.065635,4272.657415,-762.899058
4274.019784,-774.02994,4272.77717,-762.899058
4274.138693,-774.02994,4272.896923,-765.934753
4274.257602,-773.018041,4273.016676,-767.95855
4274.37651,-770.994245,4273.136428,-768.970448
4274.495419,-769.982347,4273.256179,-767.95855
4274.614327,-767.95855,4273.375929,-773.018041
4274.733235,-768.970448,4273.495679,-770.994245
4274.852142,-770.994245,4273.615427,-769.982347
4274.97105,-774.02994,4273.735175,-772.006143
4275.089957,-775.041838,4273.854922,-770.994245
4275.208864,-777.065635,4273.974668,-769.982347
4275.327771,-780.10133,4274.094413,-765.934753
4275.446678,-780.10133,4274.214157,-766.946652
4275.565584,-782.125126,4274.333901,-764.922855
4275.68449,-782.125126,4274.453644,-763.910957
4275.803396,-784.148923,4274.573386,-767.95855
4275.922302,-785.160821,4274.693127,-764.922855
4276.041208,-783.137024,4274.812867,-766.946652
4276.160113,-783.137024,4274.932606,-769.982347
4276.279018,-779.089431,4275.052345,-768.970448
4276.397923,-780.10133,4275.172083,-769.982347
4276.516828,-777.065635,4275.29182,-768.970448
4276.635732,-777.065635,4275.411556,-768.970448
4276.754636,-777.065635,4275.531291,-769.982347
4276.87354,-776.053736,4275.651026,-773.018041
4276.992444,-776.053736,4275.770759,-770.994245
4277.111348,-779.089431,4275.890492,-769.982347
4277.230251,-777.065635,4276.010224,-769.982347
4277.349154,-780.10133,4276.129955,-768.970448
4277.468057,-781.113228,4276.249686,-768.970448
4277.58696,-782.125126,4276.369415,-765.934753
4277.705862,-781.113228,4276.489144,-766.946652
4277.824765,-780.10133,4276.608872,-765.934753
4277.943667,-780.10133,4276.728599,-764.922855
4278.062569,-779.089431,4276.848325,-766.946652
4278.181471,-779.089431,4276.968051,-766.946652
4278.300372,-778.077533,4277.087775,-767.95855
4278.419273,-775.041838,4277.207499,-767.95855
4278.538174,-778.077533,4277.327222,-768.970448
4278.657075,-777.065635,4277.446944,-768.970448
4278.775976,-774.02994,4277.566666,-767.95855
4278.894876,-774.02994,4277.686386,-767.95855
4279.013776,-777.065635,4277.806106,-767.95855
4279.132676,-777.065635,4277.925825,-768.970448
4279.251576,-776.053736,4278.045543,-768.970448
4279.370476,-776.053736,4278.16526,-767.95855
4279.489375,-776.053736,4278.284977,-767.95855
4279.608274,-775.041838,4278.404692,-767.95855
4279.727173,-775.041838,4278.524407,-767.95855
4279.846072,-775.041838,4278.644121,-766.946652
4279.964971,-775.041838,4278.763835,-768.970448
4280.083869,-775.041838,4278.883547,-768.970448
4280.202767,-777.065635,4279.003259,-770.994245
4280.321665,-777.065635,4279.122969,-770.994245
4280.440563,-775.041838,4279.242679,-770.994245
4280.55946,-777.065635,4279.362388,-773.018041
