"extension","force_f","retraction","force_r"
-4754.305214,-63.9073151400007,-4755.923809,-19.2736351400008
-4754.426944,-67.9649221400005,-4756.04735,-19.2736351400008
-4754.548687,-67.9649221400005,-4756.170906,-19.2736351400008
-4754.670444,-69.99372614,-4756.294476,-21.30243814
-4754.792214,-69.99372614,-4756.418059,-25.3600461400001
-4754.913998,-76.0801371400003,-4756.541656,-23.3312421400005
-4755.035795,-78.1089401400004,-4756.665268,-27.3888491400003
-4755.157606,-82.1665481400005,-4756.788893,-31.4464571400003
-4755.27943,-90.28176214,-4756.912532,-29.4176531400008
-4755.401268,-92.3105661400004,-4757.036185,-33.4752601400005
-4755.523119,-98.3969771400007,-4757.159852,-39.5616711400007
-4755.644984,-102.45458414,-4757.283533,-43.6192781400005
-4755.766862,-100.42578014,-4757.407227,-45.64808214
-4755.888753,-102.45458414,-4757.530936,-47.6768861400005
-4756.010659,-104.48338814,-4757.654659,-47.6768861400005
-4756.132577,-102.45458414,-4757.778395,-51.7344931400003
-4756.254509,-100.42578014,-4757.902145,-49.7056891400007
-4756.376455,-96.3681731400002,-4758.02591,-47.6768861400005
-4756.498414,-96.3681731400002,-4758.149688,-47.6768861400005
-4756.620386,-100.42578014,-4758.27348,-47.6768861400005
-4756.742372,-96.3681731400002,-4758.397286,-45.64808214
-4756.864372,-96.3681731400002,-4758.521106,-45.64808214
-4756.986385,-96.3681731400002,-4758.64494,-45.64808214
-4757.108412,-96.3681731400002,-4758.768788,-47.6768861400005
-4757.230452,-98.3969771400007,-4758.892649,-47.6768861400005
-4757.352505,-94.33937014,-4759.016525,-49.7056891400007
-4757.474572,-94.33937014,-4759.140414,-55.79210014
-4757.596653,-94.33937014,-4759.264318,-59.8497081400001
-4757.718747,-92.3105661400004,-4759.388235,-63.9073151400007
-4757.840855,-86.2241551400002,-4759.512166,-74.0513331400007
-4757.962976,-86.2241551400002,-4759.636111,-72.0225291400002
-4758.08511,-78.1089401400004,-4759.76007,-78.1089401400004
-4758.207258,-80.13774414,-4759.884043,-86.2241551400002
-4758.32942,-76.0801371400003,-4760.00803,-90.28176214
-4758.451595,-74.0513331400007,-4760.132031,-90.28176214
-4758.573784,-69.99372614,-4760.256045,-90.28176214
-4758.695986,-72.0225291400002,-4760.380074,-90.28176214
-4758.818202,-74.0513331400007,-4760.504116,-94.33937014
